date,description
25-Dec-2035,1. Weihnachtsfeiertag
26-Dec-2035,2. Weihnachtsfeiertag
01-Jan-2036,Neujahr
11-Apr-2036,Karfreitag
14-Apr-2036,Ostermontag
01-May-2036,Tag der Arbeit
22-May-2036,Christi Himmelfahrt
02-Jun-2036,Pfingstmontag
03-Oct-2036,Tag der Deutschen Einheit
31-Oct-2036,Reformationstag
19-Nov-2036,Buß- und Bettag
25-Dec-2036,1. Weihnachtsfeiertag
26-Dec-2036,2. Weihnachtsfeiertag
01-Jan-2037,Neujahr
03-Apr-2037,Karfreitag
06-Apr-2037,Ostermontag
01-May-2037,Tag der Arbeit
14-May-2037,Christi Himmelfahrt
25-May-2037,Pfingstmontag
03-Oct-2037,Tag der Deutschen Einheit
31-Oct-2037,Reformationstag
18-Nov-2037,Buß- und Bettag
25-Dec-2037,1. Weihnachtsfeiertag
26-Dec-2037,2. Weihnachtsfeiertag
01-Jan-2038,Neujahr
23-Apr-2038,Karfreitag
26-Apr-2038,Ostermontag
01-May-2038,Tag der Arbeit
03-Jun-2038,Christi Himmelfahrt
14-Jun-2038,Pfingstmontag
03-Oct-2038,Tag der Deutschen Einheit
31-Oct-2038,Reformationstag
17-Nov-2038,Buß- und Bettag
25-Dec-2038,1. Weihnachtsfeiertag
26-Dec-2038,2. Weihnachtsfeiertag
01-Jan-2039,Neujahr
08-Apr-2039,Karfreitag
11-Apr-2039,Ostermontag
01-May-2039,Tag der Arbeit
19-May-2039,Christi Himmelfahrt
30-May-2039,Pfingstmontag
03-Oct-2039,Tag der Deutschen Einheit
31-Oct-2039,Reformationstag
16-Nov-2039,Buß- und Bettag
25-Dec-2039,1. Weihnachtsfeiertag
26-Dec-2039,2. Weihnachtsfeiertag
01-Jan-2040,Neujahr
30-Mar-2040,Karfreitag
02-Apr-2040,Ostermontag
01-May-2040,Tag der Arbeit
10-May-2040,Christi Himmelfahrt
21-May-2040,Pfingstmontag
03-Oct-2040,Tag der Deutschen Einheit
31-Oct-2040,Reformationstag
21-Nov-2040,Buß- und Bettag
25-Dec-2040,1. Weihnachtsfeiertag
26-Dec-2040,2. Weihnachtsfeiertag
01-Jan-2041,Neujahr
19-Apr-2041,Karfreitag
22-Apr-2041,Ostermontag
01-May-2041,Tag der Arbeit
30-May-2041,Christi Himmelfahrt
10-Jun-2041,Pfingstmontag
03-Oct-2041,Tag der Deutschen Einheit
31-Oct-2041,Reformationstag
20-Nov-2041,Buß- und Bettag
25-Dec-2041,1. Weihnachtsfeiertag
26-Dec-2041,2. Weihnachtsfeiertag
01-Jan-2042,Neujahr
04-Apr-2042,Karfreitag
07-Apr-2042,Ostermontag
01-May-2042,Tag der Arbeit
15-May-2042,Christi Himmelfahrt
26-May-2042,Pfingstmontag
03-Oct-2042,Tag der Deutschen Einheit
31-Oct-2042,Reformationstag
19-Nov-2042,Buß- und Bettag
25-Dec-2042,1. Weihnachtsfeiertag
26-Dec-2042,2. Weihnachtsfeiertag
01-Jan-2043,Neujahr
27-Mar-2043,Karfreitag
30-Mar-2043,Ostermontag
01-May-2043,Tag der Arbeit
07-May-2043,Christi Himmelfahrt
18-May-2043,Pfingstmontag
03-Oct-2043,Tag der Deutschen Einheit
31-Oct-2043,Reformationstag
18-Nov-2043,Buß- und Bettag
25-Dec-2043,1. Weihnachtsfeiertag
26-Dec-2043,2. Weihnachtsfeiertag
01-Jan-2044,Neujahr
15-Apr-2044,Karfreitag
18-Apr-2044,Ostermontag
01-May-2044,Tag der Arbeit
26-May-2044,Christi Himmelfahrt
06-Jun-2044,Pfingstmontag
03-Oct-2044,Tag der Deutschen Einheit
31-Oct-2044,Reformationstag
16-Nov-2044,Buß- und Bettag
25-Dec-2044,1. Weihnachtsfeiertag
26-Dec-2044,2. Weihnachtsfeiertag
01-Jan-2045,Neujahr
07-Apr-2045,Karfreitag
10-Apr-2045,Ostermontag
01-May-2045,Tag der Arbeit
18-May-2045,Christi Himmelfahrt
